N_of_Goal,Date,Home_team,Away_team,Minute,What,How,Jersey,Competition_abb,Competition_name,Goals_H,Goals_A,Result,Leo_age,Leo_team,Scored_team,Home_or_Away,Leo_result,Partial_Score_H,Partial_Score_A,Minute_adjusted,Goal_time_period
669,2019-06-08,Argentina,Nicaragua,37,Field goal,Left foot,10,FRN,International friendly,5,1,Home,31,Argentina,Nicaragua,Home,Won,1,0,37,First half
668,2019-05-25,FC Barcelona,Valencia,73,Rebound,Left foot,10,CUP,Copa del Rey,1,2,Away,31,FC Barcelona,Valencia,Home,Lost,1,2,73,Second half
667,2019-05-19,Eibar,FC Barcelona,32,Field goal,Left foot,10,PRM,La Liga,2,2,Draw,31,FC Barcelona,Eibar,Away,Tied,0,2,32,First half
666,2019-05-19,Eibar,FC Barcelona,31,Field goal,Left foot,10,PRM,La Liga,2,2,Draw,31,FC Barcelona,Eibar,Away,Tied,0,1,31,First half
665,2019-05-01,FC Barcelona,Liverpool,82,Free kick,Left foot,10,EUR,UEFA Champions League,3,0,Home,31,FC Barcelona,Liverpool,Home,Won,3,0,82,Second half
664,2019-05-01,FC Barcelona,Liverpool,75,Rebound,Left foot,10,EUR,UEFA Champions League,3,0,Home,31,FC Barcelona,Liverpool,Home,Won,2,0,75,Second half
663,2019-04-27,FC Barcelona,Levante,62,Field goal,Left foot,10,PRM,La Liga,1,0,Home,31,FC Barcelona,Levante,Home,Won,1,0,62,Second half
662,2019-04-16,FC Barcelona,Manchester United,20,Field goal,Right foot,10,EUR,UEFA Champions League,3,0,Home,31,FC Barcelona,Manchester United,Home,Won,2,0,20,First half
661,2019-04-16,FC Barcelona,Manchester United,16,Field goal,Left foot,10,EUR,UEFA Champions League,3,0,Home,31,FC Barcelona,Manchester United,Home,Won,1,0,16,First half
660,2019-04-06,FC Barcelona,Atlético Madrid,87,Field goal,Left foot,10,PRM,La Liga,2,0,Home,31,FC Barcelona,Atlético Madrid,Home,Won,2,0,87,Second half
659,2019-04-02,Villarreal,FC Barcelona,90+1,Free kick,Left foot,10,PRM,La Liga,4,4,Draw,31,FC Barcelona,Villarreal,Away,Tied,4,3,91,Additional time
658,2019-03-30,FC Barcelona,Espanyol,89,Field goal,Left foot,10,PRM,La Liga,2,0,Home,31,FC Barcelona,Espanyol,Home,Won,2,0,89,Second half
657,2019-03-30,FC Barcelona,Espanyol,71,Free kick,Left foot,10,PRM,La Liga,2,0,Home,31,FC Barcelona,Espanyol,Home,Won,1,0,71,Second half
656,2019-03-17,Real Betis,FC Barcelona,85,Field goal,Left foot,10,PRM,La Liga,1,4,Away,31,FC Barcelona,Real Betis,Away,Won,1,4,85,Second half
655,2019-03-17,Real Betis,FC Barcelona,45+2,Field goal,Left foot,10,PRM,La Liga,1,4,Away,31,FC Barcelona,Real Betis,Away,Won,0,2,47,Additional time
654,2019-03-17,Real Betis,FC Barcelona,18,Free kick,Left foot,10,PRM,La Liga,1,4,Away,31,FC Barcelona,Real Betis,Away,Won,0,1,18,First half
653,2019-03-13,FC Barcelona,Olympique Lyonnais,78,Field goal,Right foot,10,EUR,UEFA Champions League,5,1,Home,31,FC Barcelona,Olympique Lyonnais,Home,Won,3,1,78,Second half
652,2019-03-13,FC Barcelona,Olympique Lyonnais,18,Penalty,Left foot,10,EUR,UEFA Champions League,5,1,Home,31,FC Barcelona,Olympique Lyonnais,Home,Won,1,0,18,First half
651,2019-03-09,FC Barcelona,Rayo Vallecano,51,Penalty,Left foot,10,PRM,La Liga,3,1,Home,31,FC Barcelona,Rayo Vallecano,Home,Won,2,1,51,Second half
650,2019-02-23,Sevilla,FC Barcelona,85,Field goal,Left foot,10,PRM,La Liga,2,4,Away,31,FC Barcelona,Sevilla,Away,Won,2,3,85,Second half
649,2019-02-23,Sevilla,FC Barcelona,67,Field goal,Right foot,10,PRM,La Liga,2,4,Away,31,FC Barcelona,Sevilla,Away,Won,2,2,67,Second half
648,2019-02-23,Sevilla,FC Barcelona,26,Field goal,Left foot,10,PRM,La Liga,2,4,Away,31,FC Barcelona,Sevilla,Away,Won,1,1,26,First half
647,2019-02-16,FC Barcelona,Real Valladolid,43,Penalty,Left foot,10,PRM,La Liga,1,0,Home,31,FC Barcelona,Real Valladolid,Home,Won,1,0,43,First half
646,2019-02-02,FC Barcelona,Valencia,64,Field goal,Left foot,10,PRM,La Liga,2,2,Draw,31,FC Barcelona,Valencia,Home,Tied,2,2,64,Second half
645,2019-02-02,FC Barcelona,Valencia,39,Penalty,Left foot,10,PRM,La Liga,2,2,Draw,31,FC Barcelona,Valencia,Home,Tied,1,2,39,First half
644,2019-01-30,FC Barcelona,Sevilla,90+2,Field goal,Left foot,10,CUP,Copa del Rey,6,1,Home,31,FC Barcelona,Sevilla,Home,Won,6,1,92,Additional time
643,2019-01-27,Girona,FC Barcelona,68,Field goal,Left foot,10,PRM,La Liga,0,2,Away,31,FC Barcelona,Girona,Away,Won,0,2,68,Second half
642,2019-01-20,FC Barcelona,Leganés,90+2,Field goal,Right foot,10,PRM,La Liga,3,1,Home,31,FC Barcelona,Leganés,Home,Won,3,1,92,Additional time
641,2019-01-17,FC Barcelona,Levante,54,Field goal,Left foot,10,CUP,Copa del Rey,3,0,Home,31,FC Barcelona,Levante,Home,Won,3,0,54,Second half
640,2019-01-13,FC Barcelona,Eibar,53,Field goal,Left foot,10,PRM,La Liga,3,0,Home,31,FC Barcelona,Eibar,Home,Won,2,0,53,Second half
639,2019-01-06,Getafe,FC Barcelona,20,Field goal,Left foot,10,PRM,La Liga,1,2,Away,31,FC Barcelona,Getafe,Away,Won,0,1,20,First half
638,2018-12-22,FC Barcelona,Celta de Vigo,45,Field goal,Left foot,10,PRM,La Liga,2,0,Home,31,FC Barcelona,Celta de Vigo,Home,Won,2,0,45,First half
637,2018-12-16,Levante,FC Barcelona,60,Field goal,Left foot,10,PRM,La Liga,0,5,Away,31,FC Barcelona,Levante,Away,Won,0,4,60,Second half
636,2018-12-16,Levante,FC Barcelona,47,Field goal,Left foot,10,PRM,La Liga,0,5,Away,31,FC Barcelona,Levante,Away,Won,0,3,47,Second half
635,2018-12-16,Levante,FC Barcelona,43,Field goal,Right foot,10,PRM,La Liga,0,5,Away,31,FC Barcelona,Levante,Away,Won,0,2,43,First half
634,2018-12-08,Espanyol,FC Barcelona,65,Free kick,Left foot,10,PRM,La Liga,0,4,Away,31,FC Barcelona,Espanyol,Away,Won,0,4,65,Second half
633,2018-12-08,Espanyol,FC Barcelona,18,Free kick,Left foot,10,PRM,La Liga,0,4,Away,31,FC Barcelona,Espanyol,Away,Won,0,1,18,First half
632,2018-11-28,PSV Eindhoven,FC Barcelona,61,Field goal,Left foot,10,EUR,UEFA Champions League,1,2,Away,31,FC Barcelona,PSV Eindhoven,Away,Won,0,1,61,Second half
631,2018-11-11,FC Barcelona,Real Betis,90+2,Field goal,Left foot,10,PRM,La Liga,3,4,Away,31,FC Barcelona,Real Betis,Home,Lost,3,4,92,Additional time
630,2018-11-11,FC Barcelona,Real Betis,68,Penalty,Left foot,10,PRM,La Liga,3,4,Away,31,FC Barcelona,Real Betis,Home,Lost,1,2,68,Second half
629,2018-10-20,FC Barcelona,Sevilla,12,Field goal,Left foot,10,PRM,La Liga,4,2,Home,31,FC Barcelona,Sevilla,Home,Won,2,0,12,First half
