N_of_Goal,Date,Home_team,Away_team,Minute,What,How,Jersey,Competition_abb,Competition_name,Goals_H,Goals_A,Result,Leo_age,Leo_team,Scored_team,Home_or_Away,Leo_result,Partial_Score_H,Partial_Score_A,Minute_adjusted,Goal_time_period
404,2014-10-14,Hong Kong,Argentina,66,,Left foot,10,FRN,International friendly,0,7,Away,27,Argentina,Hong Kong,Away,Won,0,5,66,Second half
403,2014-10-04,Rayo Vallecano,FC Barcelona,35,Field goal,Left foot,10,PRM,La Liga,0,2,Away,27,FC Barcelona,Rayo Vallecano,Away,Won,0,1,35,First half
402,2014-09-30,Paris Saint-Germain,FC Barcelona,11,,Left foot,10,EUR,UEFA Champions League,3,2,Home,27,FC Barcelona,Paris Saint-Germain,Away,Lost,1,1,11,First half
401,2014-09-27,FC Barcelona,Granada,82,Field goal,Right foot,10,PRM,La Liga,6,0,Home,27,FC Barcelona,Granada,Home,Won,6,0,82,Second half
400,2014-09-27,FC Barcelona,Granada,62,Field goal,Head,10,PRM,La Liga,6,0,Home,27,FC Barcelona,Granada,Home,Won,4,0,62,Second half
399,2014-09-21,Levante,FC Barcelona,77,Field goal,Right foot,10,PRM,La Liga,0,5,Away,27,FC Barcelona,Levante,Away,Won,0,5,77,Second half
398,2014-08-24,FC Barcelona,Elche,63,Field goal,Left foot,10,PRM,La Liga,3,0,Home,27,FC Barcelona,Elche,Home,Won,3,0,63,Second half
397,2014-08-24,FC Barcelona,Elche,42,Field goal,Left foot,10,PRM,La Liga,3,0,Home,27,FC Barcelona,Elche,Home,Won,1,0,42,First half
396,2014-06-25,Nigeria,Argentina,45+1,Free kick,Left foot,10,WCP,World Cup 2014,2,3,Away,27,Argentina,Nigeria,Away,Won,1,2,46,Additional time
395,2014-06-25,Nigeria,Argentina,3,Rebound,Left foot,10,WCP,World Cup 2014,2,3,Away,27,Argentina,Nigeria,Away,Won,0,1,3,First half
394,2014-06-21,Argentina,Iran,90+1,,Left foot,10,WCP,World Cup 2014,1,0,Home,26,Argentina,Iran,Home,Won,1,0,91,Additional time
393,2014-06-16,Argentina,Bosnia-Herzegovina,65,Solo run,Left foot,10,WCP,World Cup 2014,2,1,Home,26,Argentina,Bosnia-Herzegovina,Home,Won,2,0,65,Second half
392,2014-06-07,Argentina,Slovenia,75,Field goal,Left foot,10,FRN,International friendly,2,0,Home,26,Argentina,Slovenia,Home,Won,2,0,75,Second half
391,2014-05-03,FC Barcelona,Getafe,23,,Left foot,10,PRM,La Liga,2,2,Draw,26,FC Barcelona,Getafe,Home,Tied,1,0,23,First half
390,2014-04-27,Villarreal,FC Barcelona,83,,Right foot,10,PRM,La Liga,2,3,Away,26,FC Barcelona,Villarreal,Away,Won,2,3,83,Second half
389,2014-04-20,FC Barcelona,Athletic de Bilbao,74,Free kick,Left foot,10,PRM,La Liga,2,1,Home,26,FC Barcelona,Athletic de Bilbao,Home,Won,2,1,74,Second half
388,2014-04-05,FC Barcelona,Real Betis,86,Rebound,Right foot,10,PRM,La Liga,3,1,Home,26,FC Barcelona,Real Betis,Home,Won,3,1,86,Second half
387,2014-04-05,FC Barcelona,Real Betis,15,Penalty,Left foot,10,PRM,La Liga,3,1,Home,26,FC Barcelona,Real Betis,Home,Won,1,0,15,First half
386,2014-03-29,Espanyol,FC Barcelona,77,Penalty,Left foot,10,PRM,La Liga,0,1,Away,26,FC Barcelona,Espanyol,Away,Won,0,1,77,Second half
385,2014-03-26,FC Barcelona,Celta de Vigo,30,,Right foot,10,PRM,La Liga,3,0,Home,26,FC Barcelona,Celta de Vigo,Home,Won,2,0,30,First half
384,2014-03-23,Real Madrid,FC Barcelona,84,Penalty,Left foot,10,PRM,La Liga,3,4,Away,26,FC Barcelona,Real Madrid,Away,Won,3,4,84,Second half
383,2014-03-23,Real Madrid,FC Barcelona,65,Penalty,Left foot,10,PRM,La Liga,3,4,Away,26,FC Barcelona,Real Madrid,Away,Won,3,3,65,Second half
382,2014-03-23,Real Madrid,FC Barcelona,42,,Left foot,10,PRM,La Liga,3,4,Away,26,FC Barcelona,Real Madrid,Away,Won,2,2,42,First half
381,2014-03-16,FC Barcelona,Osasuna,88,,Right foot,10,PRM,La Liga,7,0,Home,26,FC Barcelona,Osasuna,Home,Won,6,0,88,Second half
380,2014-03-16,FC Barcelona,Osasuna,63,,Left foot,10,PRM,La Liga,7,0,Home,26,FC Barcelona,Osasuna,Home,Won,4,0,63,Second half
379,2014-03-16,FC Barcelona,Osasuna,18,,Left foot,10,PRM,La Liga,7,0,Home,26,FC Barcelona,Osasuna,Home,Won,1,0,18,First half
378,2014-03-12,FC Barcelona,Manchester City,67,,Left foot,10,EUR,UEFA Champions League,2,1,Home,26,FC Barcelona,Manchester City,Home,Won,1,0,67,Second half
377,2014-03-02,FC Barcelona,UD Almería,24,Free kick,Left foot,10,PRM,La Liga,4,1,Home,26,FC Barcelona,UD Almería,Home,Won,2,0,24,First half
376,2014-02-22,Real Sociedad,FC Barcelona,36,,Left foot,10,PRM,La Liga,3,1,Home,26,FC Barcelona,Real Sociedad,Away,Lost,1,1,36,First half
375,2014-02-18,Manchester City,FC Barcelona,54,Penalty,Left foot,10,EUR,UEFA Champions League,0,2,Away,26,FC Barcelona,Manchester City,Away,Won,0,1,54,Second half
374,2014-02-15,FC Barcelona,Rayo Vallecano,68,,Left foot,10,PRM,La Liga,6,0,Home,26,FC Barcelona,Rayo Vallecano,Home,Won,5,0,68,Second half
373,2014-02-15,FC Barcelona,Rayo Vallecano,36,,Left foot,10,PRM,La Liga,6,0,Home,26,FC Barcelona,Rayo Vallecano,Home,Won,2,0,36,First half
372,2014-02-12,Real Sociedad,FC Barcelona,27,Solo run,Left foot,10,CUP,Copa del Rey,1,1,Draw,26,FC Barcelona,Real Sociedad,Away,Tied,0,1,27,First half
371,2014-02-09,Sevilla,FC Barcelona,56,Field goal,Left foot,10,PRM,La Liga,1,4,Away,26,FC Barcelona,Sevilla,Away,Won,1,3,56,Second half
370,2014-02-09,Sevilla,FC Barcelona,44,Field goal,Left foot,10,PRM,La Liga,1,4,Away,26,FC Barcelona,Sevilla,Away,Won,1,2,44,First half
369,2014-02-01,FC Barcelona,Valencia,54,Penalty,Left foot,10,PRM,La Liga,2,3,Away,26,FC Barcelona,Valencia,Home,Lost,2,2,54,Second half
368,2014-01-16,Getafe,FC Barcelona,63,Field goal,Left foot,10,CUP,Copa del Rey,0,2,Away,26,FC Barcelona,Getafe,Away,Won,0,2,63,Second half
367,2014-01-16,Getafe,FC Barcelona,44,Field goal,Hip,10,CUP,Copa del Rey,0,2,Away,26,FC Barcelona,Getafe,Away,Won,0,1,44,First half
366,2014-01-08,FC Barcelona,Getafe,90+3,,Left foot,10,CUP,Copa del Rey,4,0,Home,26,FC Barcelona,Getafe,Home,Won,4,0,93,Additional time
365,2014-01-08,FC Barcelona,Getafe,90,,Left foot,10,CUP,Copa del Rey,4,0,Home,26,FC Barcelona,Getafe,Home,Won,3,0,90,Second half
364,2013-11-06,FC Barcelona,AC Milan,83,,Left foot,10,EUR,UEFA Champions League,3,1,Home,26,FC Barcelona,AC Milan,Home,Won,3,1,83,Second half
363,2013-11-06,FC Barcelona,AC Milan,30,Penalty,Left foot,10,EUR,UEFA Champions League,3,1,Home,26,FC Barcelona,AC Milan,Home,Won,1,0,30,First half
362,2013-10-22,AC Milan,FC Barcelona,23,,Left foot,10,EUR,UEFA Champions League,1,1,Draw,26,FC Barcelona,AC Milan,Away,Tied,1,1,23,First half
361,2013-09-28,UD Almería,FC Barcelona,21,,Left foot,10,PRM,La Liga,0,2,Away,26,FC Barcelona,UD Almería,Away,Won,0,1,21,First half
360,2013-09-24,FC Barcelona,Real Sociedad,8,,Head,10,PRM,La Liga,4,1,Home,26,FC Barcelona,Real Sociedad,Home,Won,2,0,8,First half
359,2013-09-18,FC Barcelona,Ajax,75,,Left foot,10,EUR,UEFA Champions League,4,0,Home,26,FC Barcelona,Ajax,Home,Won,4,0,75,Second half
358,2013-09-18,FC Barcelona,Ajax,55,,Left foot,10,EUR,UEFA Champions League,4,0,Home,26,FC Barcelona,Ajax,Home,Won,2,0,55,Second half
357,2013-09-18,FC Barcelona,Ajax,22,Free kick,Left foot,10,EUR,UEFA Champions League,4,0,Home,26,FC Barcelona,Ajax,Home,Won,1,0,22,First half
356,2013-09-14,FC Barcelona,Sevilla,75,,Left foot,10,PRM,La Liga,3,2,Home,26,FC Barcelona,Sevilla,Home,Won,2,0,75,Second half
355,2013-09-11,Paraguay,Argentina,52,Penalty,Left foot,10,WCQ,World Cup 2014 Qualification,2,5,Away,26,Argentina,Paraguay,Away,Won,1,4,52,Second half
354,2013-09-11,Paraguay,Argentina,12,Penalty,Left foot,10,WCQ,World Cup 2014 Qualification,2,5,Away,26,Argentina,Paraguay,Away,Won,0,1,12,First half
353,2013-09-01,Valencia,FC Barcelona,41,,Left foot,10,PRM,La Liga,2,3,Away,26,FC Barcelona,Valencia,Away,Won,0,3,41,First half
352,2013-09-01,Valencia,FC Barcelona,39,,Right foot,10,PRM,La Liga,2,3,Away,26,FC Barcelona,Valencia,Away,Won,0,2,39,First half
351,2013-09-01,Valencia,FC Barcelona,11,,Left foot,10,PRM,La Liga,2,3,Away,26,FC Barcelona,Valencia,Away,Won,0,1,11,First half
350,2013-08-18,FC Barcelona,Levante,42,Penalty,Left foot,10,PRM,La Liga,7,0,Home,26,FC Barcelona,Levante,Home,Won,5,0,42,First half
349,2013-08-18,FC Barcelona,Levante,12,,Left foot,10,PRM,La Liga,7,0,Home,26,FC Barcelona,Levante,Home,Won,2,0,12,First half
348,2013-06-15,Guatemala,Argentina,49,Field goal,Left foot,10,FRN,International friendly,0,4,Away,25,Argentina,Guatemala,Away,Won,0,4,49,Second half
347,2013-06-15,Guatemala,Argentina,40,Penalty,Left foot,10,FRN,International friendly,0,4,Away,25,Argentina,Guatemala,Away,Won,0,3,40,First half
346,2013-06-15,Guatemala,Argentina,15,Field goal,Left foot,10,FRN,International friendly,0,4,Away,25,Argentina,Guatemala,Away,Won,0,1,15,First half
345,2013-05-05,FC Barcelona,Real Betis,71,,Left foot,10,PRM,La Liga,4,2,Home,25,FC Barcelona,Real Betis,Home,Won,4,2,71,Second half
344,2013-05-05,FC Barcelona,Real Betis,60,Free kick,Left foot,10,PRM,La Liga,4,2,Home,25,FC Barcelona,Real Betis,Home,Won,3,2,60,Second half
343,2013-04-27,Athletic de Bilbao,FC Barcelona,67,Solo run,Left foot,10,PRM,La Liga,2,2,Draw,25,FC Barcelona,Athletic de Bilbao,Away,Tied,1,1,67,Second half
342,2013-04-02,Paris Saint-Germain,FC Barcelona,38,,Left foot,10,EUR,UEFA Champions League,2,2,Draw,25,FC Barcelona,Paris Saint-Germain,Away,Tied,0,1,38,First half
341,2013-03-30,Celta de Vigo,FC Barcelona,73,,Left foot,10,PRM,La Liga,2,2,Draw,25,FC Barcelona,Celta de Vigo,Away,Tied,1,2,73,Second half
340,2013-03-23,Argentina,Venezuela,44,Penalty,Left foot,10,WCQ,World Cup 2014 Qualification,3,0,Home,25,Argentina,Venezuela,Home,Won,2,0,44,First half
339,2013-03-17,FC Barcelona,Rayo Vallecano,57,,Left foot,10,PRM,La Liga,3,1,Home,25,FC Barcelona,Rayo Vallecano,Home,Won,3,0,57,Second half
338,2013-03-17,FC Barcelona,Rayo Vallecano,40,,Left foot,10,PRM,La Liga,3,1,Home,25,FC Barcelona,Rayo Vallecano,Home,Won,2,0,40,First half
337,2013-03-12,FC Barcelona,AC Milan,39,,Left foot,10,EUR,UEFA Champions League,4,0,Home,25,FC Barcelona,AC Milan,Home,Won,2,0,39,First half
336,2013-03-12,FC Barcelona,AC Milan,5,,Left foot,10,EUR,UEFA Champions League,4,0,Home,25,FC Barcelona,AC Milan,Home,Won,1,0,5,First half
335,2013-03-09,FC Barcelona,Deportivo La Coruña,88,,Left foot,10,PRM,La Liga,2,0,Home,25,FC Barcelona,Deportivo La Coruña,Home,Won,2,0,88,Second half
334,2013-03-02,Real Madrid,FC Barcelona,18,,Left foot,10,PRM,La Liga,2,1,Home,25,FC Barcelona,Real Madrid,Away,Lost,1,1,18,First half
333,2013-02-23,FC Barcelona,Sevilla,60,,Left foot,10,PRM,La Liga,2,1,Home,25,FC Barcelona,Sevilla,Home,Won,2,1,60,Second half
332,2013-02-16,Granada,FC Barcelona,73,Free kick,Left foot,10,PRM,La Liga,1,2,Away,25,FC Barcelona,Granada,Away,Won,1,2,73,Second half
331,2013-02-16,Granada,FC Barcelona,50,Rebound,Right foot,10,PRM,La Liga,1,2,Away,25,FC Barcelona,Granada,Away,Won,1,1,50,Second half
330,2013-02-10,FC Barcelona,Getafe,13,,Left foot,10,PRM,La Liga,6,1,Home,25,FC Barcelona,Getafe,Home,Won,2,0,13,First half
329,2013-02-03,Valencia,FC Barcelona,39,Penalty,Left foot,10,PRM,La Liga,1,1,Draw,25,FC Barcelona,Valencia,Away,Tied,1,1,39,First half
328,2013-01-27,FC Barcelona,Osasuna,58,,Left foot,10,PRM,La Liga,5,1,Home,25,FC Barcelona,Osasuna,Home,Won,5,1,58,Second half
327,2013-01-27,FC Barcelona,Osasuna,56,,Left foot,10,PRM,La Liga,5,1,Home,25,FC Barcelona,Osasuna,Home,Won,4,1,56,Second half
326,2013-01-27,FC Barcelona,Osasuna,28,Penalty,Left foot,10,PRM,La Liga,5,1,Home,25,FC Barcelona,Osasuna,Home,Won,2,1,28,First half
325,2013-01-27,FC Barcelona,Osasuna,11,,Right foot,10,PRM,La Liga,5,1,Home,25,FC Barcelona,Osasuna,Home,Won,1,0,11,First half
324,2013-01-24,Málaga,FC Barcelona,80,,Head,10,CUP,Copa del Rey,2,4,Away,25,FC Barcelona,Málaga,Away,Won,2,4,80,Second half
323,2013-01-19,Real Sociedad,FC Barcelona,7,,Left foot,10,PRM,La Liga,3,2,Home,25,FC Barcelona,Real Sociedad,Away,Lost,0,1,7,First half
322,2013-01-16,FC Barcelona,Málaga,29,,Left foot,10,CUP,Copa del Rey,2,2,Draw,25,FC Barcelona,Málaga,Home,Tied,1,1,29,First half
321,2013-01-13,Málaga,FC Barcelona,27,,Right foot,10,PRM,La Liga,1,3,Away,25,FC Barcelona,Málaga,Away,Won,0,1,27,First half
320,2013-01-06,FC Barcelona,Espanyol,29,Penalty,Left foot,10,PRM,La Liga,4,0,Home,25,FC Barcelona,Espanyol,Home,Won,4,0,29,First half
319,2012-12-22,Real Valladolid,FC Barcelona,59,,Left foot,10,PRM,La Liga,1,3,Away,25,FC Barcelona,Real Valladolid,Away,Won,0,2,59,Second half
318,2012-12-16,FC Barcelona,Atlético Madrid,88,,Left foot,10,PRM,La Liga,4,1,Home,25,FC Barcelona,Atlético Madrid,Home,Won,4,1,88,Second half
317,2012-12-16,FC Barcelona,Atlético Madrid,57,,Left foot,10,PRM,La Liga,4,1,Home,25,FC Barcelona,Atlético Madrid,Home,Won,3,1,57,Second half
316,2012-12-12,Córdoba,FC Barcelona,74,,Left foot,10,CUP,Copa del Rey,0,2,Away,25,FC Barcelona,Córdoba,Away,Won,0,2,74,Second half
315,2012-12-12,Córdoba,FC Barcelona,11,,Left foot,10,CUP,Copa del Rey,0,2,Away,25,FC Barcelona,Córdoba,Away,Won,0,1,11,First half
314,2012-12-09,Real Betis,FC Barcelona,25,,Left foot,10,PRM,La Liga,1,2,Away,25,FC Barcelona,Real Betis,Away,Won,0,2,25,First half
313,2012-12-09,Real Betis,FC Barcelona,16,,Left foot,10,PRM,La Liga,1,2,Away,25,FC Barcelona,Real Betis,Away,Won,0,1,16,First half
312,2012-12-01,FC Barcelona,Athletic de Bilbao,70,,Right foot,10,PRM,La Liga,5,1,Home,25,FC Barcelona,Athletic de Bilbao,Home,Won,5,1,70,Second half
311,2012-12-01,FC Barcelona,Athletic de Bilbao,25,,Left foot,10,PRM,La Liga,5,1,Home,25,FC Barcelona,Athletic de Bilbao,Home,Won,2,0,25,First half
310,2012-11-25,Levante,FC Barcelona,52,,Left foot,10,PRM,La Liga,0,4,Away,25,FC Barcelona,Levante,Away,Won,0,2,52,Second half
309,2012-11-25,Levante,FC Barcelona,47,,Left foot,10,PRM,La Liga,0,4,Away,25,FC Barcelona,Levante,Away,Won,0,1,47,Second half
308,2012-11-20,Spartak Moscow,FC Barcelona,39,,Left foot,10,EUR,UEFA Champions League,0,3,Away,25,FC Barcelona,Spartak Moscow,Away,Won,0,3,39,First half
307,2012-11-20,Spartak Moscow,FC Barcelona,27,Rebound,Right foot,10,EUR,UEFA Champions League,0,3,Away,25,FC Barcelona,Spartak Moscow,Away,Won,0,2,27,First half
306,2012-11-17,FC Barcelona,Real Zaragoza,60,,Left foot,10,PRM,La Liga,3,1,Home,25,FC Barcelona,Real Zaragoza,Home,Won,3,1,60,Second half
305,2012-11-17,FC Barcelona,Real Zaragoza,16,,Left foot,10,PRM,La Liga,3,1,Home,25,FC Barcelona,Real Zaragoza,Home,Won,1,0,16,First half
304,2012-11-11,Real Mallorca,FC Barcelona,70,,Left foot,10,PRM,La Liga,2,4,Away,25,FC Barcelona,Real Mallorca,Away,Won,2,4,70,Second half
303,2012-11-11,Real Mallorca,FC Barcelona,44,,Left foot,10,PRM,La Liga,2,4,Away,25,FC Barcelona,Real Mallorca,Away,Won,0,2,44,First half
302,2012-11-07,Celtic,FC Barcelona,90+1,Rebound,Left foot,10,EUR,UEFA Champions League,2,1,Home,25,FC Barcelona,Celtic,Away,Lost,2,1,91,Additional time
301,2012-10-27,Rayo Vallecano,FC Barcelona,89,,Right foot,10,PRM,La Liga,0,5,Away,25,FC Barcelona,Rayo Vallecano,Away,Won,0,5,89,Second half
300,2012-10-27,Rayo Vallecano,FC Barcelona,48,,Left foot,10,PRM,La Liga,0,5,Away,25,FC Barcelona,Rayo Vallecano,Away,Won,0,2,48,Second half
299,2012-10-20,Deportivo La Coruña,FC Barcelona,77,,Left foot,10,PRM,La Liga,4,5,Away,25,FC Barcelona,Deportivo La Coruña,Away,Won,3,5,77,Second half
298,2012-10-20,Deportivo La Coruña,FC Barcelona,43,,Right foot,10,PRM,La Liga,4,5,Away,25,FC Barcelona,Deportivo La Coruña,Away,Won,2,4,43,First half
297,2012-10-20,Deportivo La Coruña,FC Barcelona,18,,Left foot,10,PRM,La Liga,4,5,Away,25,FC Barcelona,Deportivo La Coruña,Away,Won,0,3,18,First half
296,2012-10-17,Chile,Argentina,28,,Left foot,10,WCQ,World Cup 2014 Qualification,1,2,Away,25,Argentina,Chile,Away,Won,0,1,28,First half
295,2012-10-13,Argentina,Uruguay,80,Free kick,Left foot,10,WCQ,World Cup 2014 Qualification,3,0,Home,25,Argentina,Uruguay,Home,Won,3,0,80,Second half
294,2012-10-13,Argentina,Uruguay,65,,Right foot,10,WCQ,World Cup 2014 Qualification,3,0,Home,25,Argentina,Uruguay,Home,Won,1,0,65,Second half
293,2012-10-07,FC Barcelona,Real Madrid,61,Free kick,Left foot,10,PRM,La Liga,2,2,Draw,25,FC Barcelona,Real Madrid,Home,Tied,2,1,61,Second half
292,2012-10-07,FC Barcelona,Real Madrid,31,,Left foot,10,PRM,La Liga,2,2,Draw,25,FC Barcelona,Real Madrid,Home,Tied,1,1,31,First half
291,2012-09-19,FC Barcelona,Spartak Moscow,80,,Head,10,EUR,UEFA Champions League,3,2,Home,25,FC Barcelona,Spartak Moscow,Home,Won,3,2,80,Second half
290,2012-09-19,FC Barcelona,Spartak Moscow,71,,Left foot,10,EUR,UEFA Champions League,3,2,Home,25,FC Barcelona,Spartak Moscow,Home,Won,2,2,71,Second half
289,2012-09-15,Getafe,FC Barcelona,78,,Left foot,10,PRM,La Liga,1,4,Away,25,FC Barcelona,Getafe,Away,Won,0,3,78,Second half
288,2012-09-15,Getafe,FC Barcelona,74,Penalty,Left foot,10,PRM,La Liga,1,4,Away,25,FC Barcelona,Getafe,Away,Won,0,2,74,Second half
287,2012-09-08,Argentina,Paraguay,63,Free kick,Left foot,10,WCQ,World Cup 2014 Qualification,3,1,Home,25,Argentina,Paraguay,Home,Won,3,1,63,Second half
286,2012-08-29,Real Madrid,FC Barcelona,45,Free kick,Left foot,10,SUP,Spanish Super Cup,2,1,Home,25,FC Barcelona,Real Madrid,Away,Lost,2,1,45,First half
285,2012-08-26,Osasuna,FC Barcelona,80,,Left foot,10,PRM,La Liga,1,2,Away,25,FC Barcelona,Osasuna,Away,Won,1,2,80,Second half
284,2012-08-26,Osasuna,FC Barcelona,76,,Left foot,10,PRM,La Liga,1,2,Away,25,FC Barcelona,Osasuna,Away,Won,1,1,76,Second half
283,2012-08-23,FC Barcelona,Real Madrid,70,Penalty,Left foot,10,SUP,Spanish Super Cup,3,2,Home,25,FC Barcelona,Real Madrid,Home,Won,2,1,70,Second half
282,2012-08-19,FC Barcelona,Real Sociedad,16,,Left foot,10,PRM,La Liga,5,1,Home,25,FC Barcelona,Real Sociedad,Home,Won,3,1,16,First half
281,2012-08-19,FC Barcelona,Real Sociedad,11,,Left foot,10,PRM,La Liga,5,1,Home,25,FC Barcelona,Real Sociedad,Home,Won,2,1,11,First half
280,2012-08-15,Germany,Argentina,52,,Left foot,10,FRN,International friendly,1,3,Away,25,Argentina,Germany,Away,Won,0,2,52,Second half
279,2012-06-09,Argentina,Brazil,85,Solo run,Left foot,10,FRN,International friendly,4,3,Home,24,Argentina,Brazil,Home,Won,4,3,85,Second half
278,2012-06-09,Argentina,Brazil,35,,Left foot,10,FRN,International friendly,4,3,Home,24,Argentina,Brazil,Home,Won,2,1,35,First half
277,2012-06-09,Argentina,Brazil,31,,Left foot,10,FRN,International friendly,4,3,Home,24,Argentina,Brazil,Home,Won,1,1,31,First half
276,2012-06-03,Argentina,Ecuador,31,Field goal,Left foot,10,WCQ,World Cup 2014 Qualification,4,0,Home,24,Argentina,Ecuador,Home,Won,3,0,31,First half
275,2012-05-25,Athletic de Bilbao,FC Barcelona,20,,Right foot,10,CUP,Copa del Rey,0,3,Away,24,FC Barcelona,Athletic de Bilbao,Away,Won,0,2,20,First half
274,2012-05-05,FC Barcelona,Espanyol,79,Penalty,Left foot,10,PRM,La Liga,4,0,Home,24,FC Barcelona,Espanyol,Home,Won,4,0,79,Second half
273,2012-05-05,FC Barcelona,Espanyol,74,,Left foot,10,PRM,La Liga,4,0,Home,24,FC Barcelona,Espanyol,Home,Won,3,0,74,Second half
272,2012-05-05,FC Barcelona,Espanyol,64,Penalty,Left foot,10,PRM,La Liga,4,0,Home,24,FC Barcelona,Espanyol,Home,Won,2,0,64,Second half
271,2012-05-05,FC Barcelona,Espanyol,12,Free kick,Left foot,10,PRM,La Liga,4,0,Home,24,FC Barcelona,Espanyol,Home,Won,1,0,12,First half
270,2012-05-02,FC Barcelona,Málaga,64,,Left foot,10,PRM,La Liga,4,1,Home,24,FC Barcelona,Málaga,Home,Won,4,1,64,Second half
269,2012-05-02,FC Barcelona,Málaga,59,Penalty,Left foot,10,PRM,La Liga,4,1,Home,24,FC Barcelona,Málaga,Home,Won,3,1,59,Second half
268,2012-05-02,FC Barcelona,Málaga,35,Penalty,Left foot,10,PRM,La Liga,4,1,Home,24,FC Barcelona,Málaga,Home,Won,2,1,35,First half
267,2012-04-29,Rayo Vallecano,FC Barcelona,90,,Left foot,10,PRM,La Liga,0,7,Away,24,FC Barcelona,Rayo Vallecano,Away,Won,0,7,90,Second half
266,2012-04-29,Rayo Vallecano,FC Barcelona,16,,Left foot,10,PRM,La Liga,0,7,Away,24,FC Barcelona,Rayo Vallecano,Away,Won,0,1,16,First half
265,2012-04-14,Levante,FC Barcelona,72,Penalty,Left foot,10,PRM,La Liga,1,2,Away,24,FC Barcelona,Levante,Away,Won,1,2,72,Second half
264,2012-04-14,Levante,FC Barcelona,64,Field goal,Left foot,10,PRM,La Liga,1,2,Away,24,FC Barcelona,Levante,Away,Won,1,1,64,Second half
263,2012-04-10,FC Barcelona,Getafe,44,,Left foot,10,PRM,La Liga,4,0,Home,24,FC Barcelona,Getafe,Home,Won,2,0,44,First half
262,2012-04-07,Real Zaragoza,FC Barcelona,86,Penalty,Left foot,10,PRM,La Liga,1,4,Away,24,FC Barcelona,Real Zaragoza,Away,Won,1,3,86,Second half
261,2012-04-07,Real Zaragoza,FC Barcelona,39,,Left foot,10,PRM,La Liga,1,4,Away,24,FC Barcelona,Real Zaragoza,Away,Won,1,2,39,First half
260,2012-04-03,FC Barcelona,AC Milan,41,Penalty,Left foot,10,EUR,UEFA Champions League,3,1,Home,24,FC Barcelona,AC Milan,Home,Won,2,1,41,First half
259,2012-04-03,FC Barcelona,AC Milan,11,Penalty,Left foot,10,EUR,UEFA Champions League,3,1,Home,24,FC Barcelona,AC Milan,Home,Won,1,0,11,First half
258,2012-03-31,FC Barcelona,Athletic de Bilbao,58,Penalty,Left foot,10,PRM,La Liga,2,0,Home,24,FC Barcelona,Athletic de Bilbao,Home,Won,2,0,58,Second half
257,2012-03-24,Real Mallorca,FC Barcelona,25,Free kick,Left foot,10,PRM,La Liga,0,2,Away,24,FC Barcelona,Real Mallorca,Away,Won,0,1,25,First half
256,2012-03-20,FC Barcelona,Granada,86,Field goal,Left foot,10,PRM,La Liga,5,3,Home,24,FC Barcelona,Granada,Home,Won,5,2,86,Second half
255,2012-03-20,FC Barcelona,Granada,67,Field goal,Left foot,10,PRM,La Liga,5,3,Home,24,FC Barcelona,Granada,Home,Won,3,2,67,Second half
254,2012-03-20,FC Barcelona,Granada,17,Field goal,Left foot,10,PRM,La Liga,5,3,Home,24,FC Barcelona,Granada,Home,Won,2,0,17,First half
253,2012-03-17,Sevilla,FC Barcelona,25,,Left foot,10,PRM,La Liga,0,2,Away,24,FC Barcelona,Sevilla,Away,Won,0,2,25,First half
252,2012-03-11,Racing Santander,FC Barcelona,56,Penalty,Left foot,10,PRM,La Liga,0,2,Away,24,FC Barcelona,Racing Santander,Away,Won,0,2,56,Second half
251,2012-03-11,Racing Santander,FC Barcelona,29,,Left foot,10,PRM,La Liga,0,2,Away,24,FC Barcelona,Racing Santander,Away,Won,0,1,29,First half
250,2012-03-07,FC Barcelona,Bayer Leverkusen,84,,Left foot,10,EUR,UEFA Champions League,7,1,Home,24,FC Barcelona,Bayer Leverkusen,Home,Won,7,0,84,Second half
249,2012-03-07,FC Barcelona,Bayer Leverkusen,58,Rebound,Left foot,10,EUR,UEFA Champions League,7,1,Home,24,FC Barcelona,Bayer Leverkusen,Home,Won,5,0,58,Second half
248,2012-03-07,FC Barcelona,Bayer Leverkusen,49,,Right foot,10,EUR,UEFA Champions League,7,1,Home,24,FC Barcelona,Bayer Leverkusen,Home,Won,3,0,49,Second half
247,2012-03-07,FC Barcelona,Bayer Leverkusen,42,,Left foot,10,EUR,UEFA Champions League,7,1,Home,24,FC Barcelona,Bayer Leverkusen,Home,Won,2,0,42,First half
246,2012-03-07,FC Barcelona,Bayer Leverkusen,25,,Left foot,10,EUR,UEFA Champions League,7,1,Home,24,FC Barcelona,Bayer Leverkusen,Home,Won,1,0,25,First half
245,2012-02-29,Switzerland,Argentina,90+3,Penalty,Left foot,10,FRN,International friendly,1,3,Away,24,Argentina,Switzerland,Away,Won,1,3,93,Additional time
244,2012-02-29,Switzerland,Argentina,88,,Left foot,10,FRN,International friendly,1,3,Away,24,Argentina,Switzerland,Away,Won,1,2,88,Second half
243,2012-02-29,Switzerland,Argentina,20,,Left foot,10,FRN,International friendly,1,3,Away,24,Argentina,Switzerland,Away,Won,0,1,20,First half
242,2012-02-26,Atlético Madrid,FC Barcelona,81,Free kick,Left foot,10,PRM,La Liga,1,2,Away,24,FC Barcelona,Atlético Madrid,Away,Won,1,2,81,Second half
241,2012-02-19,FC Barcelona,Valencia,85,,Left foot,10,PRM,La Liga,5,1,Home,24,FC Barcelona,Valencia,Home,Won,4,1,85,Second half
